,Subject,maxBurst_SHA01,meanInterval_SHA01,meanNumRewards_SHA01,modeInterval_SHA01,numBurst_SHA01,pctRewards_SHA01,stdInterval_SHA01,maxBurst_SHA02,meanInterval_SHA02,meanNumRewards_SHA02,modeInterval_SHA02,numBurst_SHA02,pctRewards_SHA02,stdInterval_SHA02,maxBurst_SHA03,meanInterval_SHA03,meanNumRewards_SHA03,modeInterval_SHA03,numBurst_SHA03,pctRewards_SHA03,stdInterval_SHA03,maxBurst_SHA04,meanInterval_SHA04,meanNumRewards_SHA04,modeInterval_SHA04,numBurst_SHA04,pctRewards_SHA04,stdInterval_SHA04,maxBurst_SHA05,meanInterval_SHA05,meanNumRewards_SHA05,modeInterval_SHA05,numBurst_SHA05,pctRewards_SHA05,stdInterval_SHA05,maxBurst_SHA06,meanInterval_SHA06,meanNumRewards_SHA06,modeInterval_SHA06,numBurst_SHA06,pctRewards_SHA06,stdInterval_SHA06,maxBurst_SHA07,meanInterval_SHA07,meanNumRewards_SHA07,modeInterval_SHA07,numBurst_SHA07,pctRewards_SHA07,stdInterval_SHA07,maxBurst_SHA08,meanInterval_SHA08,meanNumRewards_SHA08,modeInterval_SHA08,numBurst_SHA08,pctRewards_SHA08,stdInterval_SHA08,maxBurst_SHA09,meanInterval_SHA09,meanNumRewards_SHA09,modeInterval_SHA09,numBurst_SHA09,pctRewards_SHA09,stdInterval_SHA09,maxBurst_SHA10,meanInterval_SHA10,meanNumRewards_SHA10,modeInterval_SHA10,numBurst_SHA10,pctRewards_SHA10,stdInterval_SHA10,maxBurst_SHA11,meanInterval_SHA11,meanNumRewards_SHA11,modeInterval_SHA11,numBurst_SHA11,pctRewards_SHA11,stdInterval_SHA11
89,F1410,2.0,1060.2,2.0,20.0,2.0,67.0,1156.95,0.0,3227.0,0.0,3227.0,0.0,0.0,0.0,3.0,535.08,3.0,317.0,1.0,21.0,608.61,5.0,156.51,2.54,20.0,13.0,72.0,132.38,,,,,,,,5.0,148.22,2.33,23.0,15.0,74.0,108.97,4.0,173.82,2.2,124.0,10.0,54.0,99.82,2.0,163.95,2.0,194.0,9.0,42.0,69.51,3.0,207.58,2.33,155.0,3.0,21.0,74.92,2.0,207.18,2.0,194.0,5.0,28.999999999999996,90.4,,,,,,,
90,F1411,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,5.0,45.43,3.0,32.0,5.0,100.0,21.79,,,,,,,,3.0,505.0,2.17,42.0,6.0,87.0,634.85,2.0,708.2,2.0,24.0,4.0,73.0,823.92,3.0,623.0,2.33,276.0,3.0,57.99999999999999,613.44,2.0,566.17,2.0,3870.0,4.0,62.0,1018.95,2.0,666.89,2.0,3409.0,3.0,60.0,1046.08,,,,,,,
91,F1412,3.0,357.74,2.25,398.0,4.0,45.0,262.23,0.0,1159.4,0.0,1887.0,0.0,0.0,764.34,0.0,,0.0,,0.0,0.0,,2.0,463.43,2.0,244.0,1.0,13.0,260.77,,,,,,,,3.0,138.86,2.11,189.0,19.0,77.0,113.34,3.0,140.28,2.25,40.0,16.0,71.0,112.45,3.0,153.48,2.07,46.0,15.0,66.0,97.36,2.0,171.49,2.0,228.0,9.0,43.0,60.41,2.0,167.88,2.0,125.0,9.0,43.0,78.74,,,,,,,
92,F1413,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,2.0,3368.0,2.0,21.0,1.0,67.0,3347.0,,,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,2.0,49.0,2.0,49.0,1.0,100.0,0.0,2.0,1182.33,2.0,922.0,2.0,56.99999999999999,941.76,,,,,,,
93,F1416,0.0,,0.0,,0.0,0.0,,2.0,503.0,2.0,323.0,3.0,43.0,576.37,2.0,716.33,2.0,39.0,1.0,28.999999999999996,343.5,0.0,361.72,0.0,362.0,0.0,0.0,127.09,,,,,,,,2.0,317.05,2.0,370.0,3.0,26.0,157.73,2.0,296.12,2.0,37.0,2.0,16.0,108.79,3.0,284.52,3.0,380.0,1.0,12.0,115.43,2.0,270.62,2.0,395.0,3.0,22.0,119.72,2.0,278.04,2.0,261.0,1.0,8.0,91.73,,,,,,,
94,F1431,0.0,2912.0,0.0,2912.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1896.33,0.0,2365.0,0.0,0.0,905.45,,,,,,,,4.0,351.85,2.57,41.0,7.0,86.0,598.22,2.0,2328.5,2.0,27.0,1.0,67.0,2301.5,4.0,237.23,2.25,21.0,8.0,78.0,575.72,2.0,681.5,2.0,1329.0,1.0,67.0,647.5,4.0,164.72,2.31,101.0,13.0,68.0,133.41,,,,,,,
95,F1432,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,1609.0,0.0,1609.0,0.0,0.0,0.0,,,,,,,,3.0,1112.33,3.0,86.0,1.0,43.0,1085.22,0.0,,0.0,,0.0,,,0.0,3836.0,0.0,3836.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,3.0,1053.17,2.5,62.0,2.0,71.0,1440.01,,,,,,,
96,F1434,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,4135.0,0.0,4135.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,1238.8,2.0,279.0,1.0,33.0,1535.59,0.0,2314.67,0.0,286.0,0.0,0.0,1438.71,2.0,1053.4,2.0,136.0,1.0,33.0,1006.84,2.0,715.7,2.0,218.0,1.0,18.0,736.71,,,,,,,
97,M1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1850.33,2.0,1608.0,1.0,50.0,1567.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,M1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,482.43,2.0,56.0,4.0,53.0,476.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,M1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331.75,2.0,311.0,7.0,67.0,279.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,M1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,161.55,2.25,85.0,12.0,60.0,178.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,M1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,M1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,M1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,344.16,2.2,40.0,5.0,55.00000000000001,332.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,M1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,255.22,2.38,40.0,8.0,68.0,300.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
